loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,loan_status,dti,delinq_2yrs,open_acc,pub_rec_bankruptcies
5000.0,60,16.77,2.0,1,50004.0,0,13.97,3.0,14.0,0.0
4000.0,36,11.71,10.0,2,106000.0,1,5.63,1.0,12.0,0.0
8500.0,36,11.71,0.0,1,25000.0,1,12.19,0.0,8.0,0.0
4375.0,36,7.51,7.0,2,17108.0,1,20.34,0.0,6.0,0.0
31825.0,36,7.9,5.0,2,75000.0,1,14.03,0.0,12.0,0.0
10000.0,60,15.96,2.0,1,29120.0,1,22.83,0.0,11.0,0.0
5000.0,36,8.9,2.0,1,24044.0,1,11.93,0.0,8.0,0.0
7000.0,36,15.96,7.0,1,34000.0,1,6.35,0.0,6.0,0.0
12400.0,36,10.65,10.0,1,41000.0,1,11.8,0.0,9.0,0.0
10800.0,36,9.91,2.0,1,55596.0,1,5.5,0.0,7.0,0.0
15000.0,36,7.9,1.0,1,45000.0,1,8.48,0.0,7.0,0.0
6000.0,36,12.42,1.0,1,36852.0,1,10.62,0.0,7.0,0.0
12500.0,60,12.69,1.0,1,27000.0,1,16.04,0.0,6.0,0.0
9600.0,36,7.51,4.0,1,68004.0,1,6.63,0.0,6.0,0.0
12000.0,36,7.9,10.0,1,62300.0,1,16.7,0.0,15.0,0.0
3000.0,36,18.25,9.0,2,65000.0,1,17.39,0.0,8.0,0.0
4400.0,36,16.77,10.0,1,55000.0,1,20.01,0.0,7.0,0.0
6000.0,36,6.03,10.0,2,45600.0,1,5.34,0.0,6.0,0.0
14000.0,36,9.91,6.0,1,80000.0,1,10.0,0.0,7.0,0.0
5000.0,36,8.9,10.0,2,100000.0,0,16.33,0.0,17.0,0.0
10000.0,36,10.65,6.0,1,27000.0,1,11.47,0.0,7.0,0.0
10000.0,36,6.03,10.0,1,60000.0,1,12.74,0.0,11.0,0.0
11000.0,36,6.62,5.0,1,70000.0,1,10.85,0.0,5.0,0.0
15000.0,36,9.91,8.0,2,80000.0,0,9.12,0.0,9.0,0.0
25600.0,36,9.91,9.0,1,110000.0,1,15.71,0.0,11.0,0.0
7000.0,36,10.65,0.0,1,40000.0,1,7.38,0.0,7.0,0.0
12000.0,36,15.96,4.0,1,50000.0,0,20.88,0.0,11.0,0.0
12000.0,36,9.91,1.0,1,46000.0,1,8.11,0.0,11.0,0.0
21000.0,60,19.91,7.0,1,50000.0,0,21.58,0.0,7.0,0.0
16000.0,60,19.91,7.0,1,81000.0,1,20.52,0.0,12.0,0.0
10000.0,36,12.42,0.0,3,39000.0,1,18.58,0.0,5.0,0.0
10000.0,36,10.65,2.0,1,51400.0,1,19.14,0.0,10.0,0.0
7100.0,36,16.77,1.0,2,33000.0,1,24.0,0.0,4.0,0.0
13000.0,60,12.69,0.0,2,30000.0,1,13.72,0.0,17.0,0.0
17500.0,60,17.27,6.0,1,40000.0,1,19.47,0.0,5.0,0.0
17675.0,60,14.65,0.0,1,50000.0,1,16.46,0.0,6.0,0.0
8000.0,36,16.77,0.0,1,62000.0,1,21.64,0.0,14.0,0.0
10000.0,60,10.65,10.0,1,45996.0,0,21.73,0.0,7.0,0.0
3500.0,36,10.65,7.0,2,55000.0,1,5.39,0.0,9.0,0.0
12500.0,60,17.27,5.0,1,30000.0,0,13.16,0.0,7.0,1.0
16425.0,36,14.27,4.0,1,44544.0,1,22.71,0.0,10.0,0.0
8200.0,60,21.28,4.0,1,75000.0,0,12.48,0.0,6.0,0.0
15000.0,36,14.65,2.0,3,61000.0,1,11.88,0.0,8.0,0.0
20975.0,60,17.58,5.0,2,44000.0,1,18.79,0.0,13.0,1.0
6400.0,36,16.77,5.0,1,75000.0,0,20.22,0.0,9.0,0.0
3000.0,36,13.49,1.0,1,33600.0,1,18.11,0.0,4.0,0.0
12000.0,36,16.77,3.0,1,50000.0,1,20.57,0.0,13.0,0.0
14400.0,36,8.9,0.0,3,150000.0,1,14.85,0.0,12.0,0.0
12000.0,36,14.65,10.0,1,90000.0,1,16.56,0.0,12.0,0.0
11000.0,36,13.49,10.0,2,48000.0,1,21.82,0.0,15.0,0.0
7250.0,60,21.67,0.0,1,75000.0,1,24.82,0.0,9.0,1.0
15000.0,36,7.9,1.0,2,52000.0,1,9.65,0.0,11.0,0.0
18000.0,60,19.91,10.0,2,65000.0,1,6.81,0.0,10.0,0.0
35000.0,60,17.27,3.0,2,150000.0,1,7.51,0.0,11.0,0.0
10000.0,36,14.27,2.0,1,68000.0,1,15.39,0.0,9.0,0.0
11800.0,36,12.69,6.0,1,42000.0,1,9.86,0.0,4.0,0.0
4500.0,36,6.03,4.0,1,53000.0,1,4.44,0.0,7.0,0.0
7000.0,36,12.69,10.0,1,35000.0,1,11.35,0.0,10.0,0.0
9200.0,36,12.42,2.0,1,60000.0,1,19.96,0.0,8.0,0.0
14000.0,60,17.27,4.0,1,28000.0,1,6.34,0.0,5.0,0.0
4500.0,60,10.65,0.0,2,42000.0,1,5.4,0.0,4.0,0.0
12000.0,36,16.29,9.0,1,88365.0,1,16.85,0.0,6.0,0.0
12000.0,36,13.49,4.0,1,72000.0,1,21.33,0.0,11.0,0.0
12000.0,36,10.65,0.0,1,62000.0,1,23.94,0.0,10.0,0.0
7000.0,36,10.65,3.0,2,43680.0,1,5.38,0.0,7.0,0.0
8200.0,60,19.42,3.0,1,120000.0,1,2.8,0.0,5.0,0.0
10500.0,36,12.69,10.0,1,66000.0,1,20.73,1.0,8.0,0.0
7000.0,36,11.71,4.0,3,39120.0,1,21.01,0.0,8.0,0.0
15300.0,60,22.06,6.0,1,85000.0,1,20.58,0.0,14.0,0.0
20000.0,60,11.71,4.0,2,47800.0,1,10.04,0.0,15.0,0.0
17500.0,60,17.27,7.0,2,45000.0,0,21.31,0.0,13.0,0.0
3500.0,36,6.03,10.0,2,83000.0,1,2.31,0.0,6.0,0.0
6000.0,60,12.69,0.0,1,81000.0,1,13.66,1.0,6.0,0.0
6200.0,36,9.91,2.0,1,25000.0,0,20.64,0.0,7.0,0.0
16000.0,60,17.58,7.0,1,65000.0,1,15.56,0.0,8.0,0.0
6000.0,36,8.9,8.0,3,28800.0,1,13.17,0.0,11.0,0.0
7200.0,36,9.91,6.0,1,135000.0,1,6.12,0.0,7.0,0.0
9500.0,36,8.9,7.0,2,50000.0,1,8.18,0.0,8.0,0.0
18825.0,60,16.77,10.0,1,38000.0,0,23.18,0.0,6.0,0.0
24000.0,36,10.65,10.0,1,45000.0,1,14.8,0.0,5.0,0.0
6000.0,36,13.49,10.0,1,80000.0,1,11.58,0.0,8.0,0.0
6000.0,36,13.49,5.0,1,50000.0,1,15.38,0.0,6.0,0.0
2100.0,36,12.42,10.0,2,30000.0,1,19.72,0.0,12.0,0.0
5500.0,36,6.62,8.0,2,110000.0,1,9.69,0.0,7.0,0.0
11000.0,36,6.62,8.0,3,45608.0,1,20.5,0.0,7.0,0.0
26800.0,60,20.89,3.0,2,120000.0,1,12.15,0.0,13.0,0.0
8000.0,36,12.69,5.0,2,35000.0,1,10.05,0.0,7.0,0.0
10000.0,36,18.25,1.0,1,75000.0,0,24.14,0.0,9.0,0.0
8000.0,36,11.71,9.0,2,35000.0,1,9.7,0.0,7.0,0.0
10000.0,36,8.9,6.0,1,24000.0,1,7.0,0.0,6.0,0.0
12000.0,36,11.71,2.0,2,126000.0,1,13.32,0.0,17.0,0.0
10000.0,36,7.9,1.0,1,43000.0,1,25.26,0.0,8.0,0.0
12000.0,36,9.91,1.0,1,50000.0,1,16.44,0.0,11.0,0.0
25000.0,60,13.49,10.0,2,67000.0,0,14.15,0.0,6.0,0.0
19750.0,36,10.65,4.0,1,45000.0,0,22.8,0.0,12.0,0.0
10000.0,36,9.91,3.0,1,31200.0,1,14.81,0.0,13.0,0.0
13650.0,36,12.42,4.0,1,66000.0,1,24.09,0.0,11.0,0.0
28000.0,60,19.91,10.0,1,52000.0,0,20.7,0.0,10.0,0.0
18000.0,36,7.9,10.0,1,56964.0,1,27.55,0.0,7.0,0.0
2500.0,36,14.27,7.0,1,49500.0,1,10.33,0.0,7.0,0.0
21000.0,60,20.3,10.0,1,70000.0,1,23.21,0.0,17.0,0.0
35000.0,36,8.9,6.0,2,125000.0,1,22.71,0.0,8.0,0.0
10000.0,36,7.51,3.0,1,33000.0,1,9.75,0.0,9.0,0.0
7000.0,36,12.69,0.0,1,30000.0,1,15.8,0.0,7.0,0.0
24000.0,36,15.96,8.0,2,90000.0,0,9.17,0.0,9.0,0.0
10625.0,36,7.51,5.0,2,23000.0,1,18.89,0.0,9.0,0.0
5000.0,36,14.65,2.0,1,24000.0,1,18.3,0.0,5.0,0.0
8850.0,36,6.62,10.0,1,62000.0,1,17.71,0.0,7.0,0.0
6375.0,36,7.51,4.0,1,44000.0,1,4.8,0.0,7.0,0.0
6000.0,36,11.71,1.0,1,90000.0,1,2.97,1.0,10.0,0.0
11100.0,36,6.62,10.0,1,41000.0,0,29.85,0.0,8.0,0.0
10000.0,60,12.69,2.0,2,56000.0,1,10.82,0.0,11.0,0.0
6200.0,36,6.03,5.0,2,26500.0,1,18.2,0.0,6.0,0.0
15000.0,36,18.64,1.0,1,54000.0,1,19.69,0.0,9.0,0.0
4200.0,36,11.71,2.0,1,53000.0,1,16.91,0.0,15.0,0.0
14000.0,36,14.27,4.0,1,52800.0,1,7.36,0.0,9.0,0.0
8875.0,36,7.51,1.0,2,38000.0,1,23.53,0.0,13.0,0.0
13500.0,36,9.91,7.0,1,38000.0,1,12.38,0.0,3.0,0.0
12000.0,36,9.91,2.0,1,42000.0,0,7.83,0.0,8.0,0.0
16000.0,60,19.91,4.0,1,55000.0,1,15.8,0.0,8.0,0.0
21600.0,60,19.42,8.0,2,60000.0,1,16.74,1.0,6.0,0.0
6000.0,36,10.65,6.0,2,87000.0,1,12.86,2.0,12.0,0.0
8450.0,60,16.77,5.0,3,25000.0,1,22.51,0.0,6.0,0.0
20000.0,60,13.49,1.0,1,82000.0,1,17.68,0.0,13.0,0.0
10000.0,36,11.71,8.0,1,60000.0,0,22.08,0.0,8.0,0.0
12000.0,36,16.29,5.0,2,80000.0,1,18.18,0.0,8.0,0.0
13475.0,60,13.49,10.0,1,25000.0,0,21.89,0.0,7.0,0.0
7200.0,36,12.42,5.0,1,48000.0,1,17.43,0.0,7.0,0.0
5600.0,36,14.65,1.0,2,85000.0,0,12.24,1.0,8.0,0.0
12000.0,36,14.27,0.0,1,57000.0,1,10.86,0.0,7.0,0.0
8500.0,36,6.03,2.0,1,25000.0,1,1.73,0.0,6.0,0.0
8000.0,36,9.91,2.0,1,34000.0,1,18.28,0.0,6.0,0.0
8000.0,36,12.42,10.0,1,40000.0,1,15.0,0.0,10.0,0.0
16000.0,60,15.27,10.0,1,42656.4,1,17.44,0.0,4.0,0.0
15000.0,36,17.27,2.0,2,44400.0,1,3.59,1.0,6.0,1.0
10000.0,36,9.91,2.0,3,30000.0,1,11.24,0.0,8.0,0.0
10000.0,36,6.62,5.0,2,70000.0,1,16.78,0.0,9.0,0.0
8000.0,36,14.65,3.0,1,28000.0,1,12.6,0.0,8.0,0.0
22000.0,36,9.91,2.0,2,50000.0,1,13.22,0.0,17.0,0.0
6000.0,36,14.27,10.0,2,94800.0,1,24.53,0.0,13.0,0.0
16000.0,60,9.91,10.0,3,40000.0,1,9.39,0.0,6.0,0.0
13500.0,36,9.91,2.0,2,36000.0,1,22.93,0.0,13.0,0.0
25000.0,36,12.42,2.0,1,225000.0,1,8.32,1.0,11.0,0.0
10000.0,36,13.49,2.0,1,45900.0,1,24.97,0.0,10.0,0.0
2500.0,36,13.49,4.0,1,27200.0,1,6.44,0.0,6.0,0.0
7325.0,36,12.69,1.0,1,42000.0,1,22.57,0.0,12.0,0.0
4000.0,36,12.42,5.0,1,135000.0,1,12.12,0.0,11.0,0.0
10000.0,36,13.49,5.0,1,65000.0,0,6.92,1.0,12.0,0.0
7750.0,36,17.27,0.0,1,24000.0,0,16.1,0.0,4.0,0.0
20000.0,60,20.89,6.0,1,70000.0,0,16.63,0.0,10.0,0.0
9600.0,36,12.42,10.0,1,65000.0,1,11.65,0.0,6.0,0.0
21000.0,60,11.71,3.0,1,60000.0,0,6.62,0.0,7.0,0.0
14000.0,36,10.65,3.0,1,30000.0,1,15.52,0.0,7.0,0.0
13350.0,36,12.42,10.0,1,43000.0,1,20.57,0.0,7.0,0.0
15000.0,36,16.77,10.0,1,42000.0,0,19.63,0.0,10.0,0.0
15000.0,36,17.27,8.0,1,75000.0,0,16.03,0.0,10.0,0.0
11000.0,60,13.49,10.0,2,129000.0,1,10.94,0.0,10.0,0.0
35000.0,36,10.65,2.0,2,168000.0,1,3.17,1.0,16.0,0.0
9000.0,36,10.65,9.0,2,74000.0,1,8.89,0.0,7.0,0.0
22475.0,60,15.27,7.0,2,52000.0,1,15.23,0.0,7.0,0.0
16000.0,36,12.69,1.0,1,58500.0,0,20.64,0.0,8.0,0.0
13500.0,36,12.69,5.0,1,71000.0,1,11.97,0.0,4.0,0.0
24000.0,36,12.69,10.0,1,75000.0,1,11.6,0.0,10.0,0.0
12000.0,36,10.65,5.0,1,60000.0,1,10.84,0.0,12.0,0.0
8400.0,60,16.77,5.0,1,87996.0,1,11.35,0.0,8.0,0.0
28000.0,60,17.58,5.0,2,140000.0,1,12.07,0.0,13.0,0.0
14000.0,36,6.62,10.0,1,66000.0,1,11.15,0.0,7.0,0.0
12000.0,36,14.27,8.0,2,70000.0,0,8.4,0.0,7.0,0.0
25000.0,36,11.71,10.0,2,100000.0,1,6.88,0.0,8.0,0.0
9000.0,36,12.69,5.0,1,50000.0,1,17.81,0.0,13.0,0.0
13250.0,36,10.65,4.0,1,35000.0,1,24.93,0.0,11.0,0.0
20000.0,36,13.49,6.0,1,75000.0,1,22.38,0.0,7.0,0.0
3000.0,36,14.65,5.0,1,71000.0,1,21.84,0.0,4.0,0.0
7350.0,36,10.65,10.0,2,48000.0,1,11.93,0.0,5.0,0.0
11500.0,36,15.27,5.0,1,36000.0,1,21.1,0.0,7.0,0.0
13650.0,36,12.42,10.0,2,86000.0,0,12.29,0.0,12.0,0.0
10500.0,36,16.29,3.0,1,30000.0,0,15.0,0.0,7.0,0.0
12000.0,36,9.91,2.0,1,60000.0,1,15.5,0.0,7.0,0.0
6000.0,36,8.9,3.0,1,34000.0,1,14.51,0.0,9.0,0.0
11500.0,36,15.27,10.0,2,44200.0,1,21.69,0.0,9.0,0.0
7000.0,36,12.42,7.0,2,82000.0,1,12.0,0.0,6.0,0.0
29500.0,60,20.3,6.0,2,83000.0,1,20.93,0.0,12.0,0.0
2000.0,36,15.27,2.0,1,41000.0,1,17.74,0.0,7.0,0.0
11625.0,36,13.49,0.0,2,36000.0,1,19.33,0.0,17.0,0.0
15075.0,36,14.27,10.0,1,35000.0,0,20.16,0.0,7.0,0.0
5300.0,36,15.27,1.0,1,30000.0,1,24.88,0.0,11.0,0.0
8200.0,36,6.62,0.0,1,40000.0,1,11.1,0.0,7.0,0.0
12000.0,36,12.42,9.0,2,105000.0,1,13.98,0.0,10.0,0.0
8650.0,36,14.27,4.0,2,45000.0,1,7.6,0.0,14.0,0.0
21000.0,60,17.27,10.0,2,109000.0,1,7.75,0.0,9.0,0.0
16000.0,60,17.27,2.0,1,50000.0,1,11.04,0.0,10.0,0.0
12000.0,36,12.42,2.0,1,83000.0,1,11.81,0.0,14.0,0.0
9500.0,36,12.69,0.0,2,52500.0,0,23.54,0.0,14.0,0.0
7400.0,36,13.49,0.0,3,25000.0,1,8.45,0.0,5.0,0.0
14400.0,36,13.49,10.0,2,60000.0,1,16.92,0.0,15.0,0.0
24250.0,60,23.91,7.0,2,120000.0,1,12.96,0.0,7.0,0.0
7200.0,36,7.9,3.0,1,68000.0,0,7.98,0.0,5.0,0.0
26000.0,60,16.77,10.0,2,53000.0,0,11.77,0.0,5.0,0.0
7000.0,60,11.71,6.0,2,69600.0,0,26.22,0.0,10.0,0.0
4000.0,36,7.51,0.0,1,65000.0,1,18.17,0.0,10.0,0.0
1500.0,36,17.27,10.0,2,144000.0,1,8.23,1.0,6.0,0.0
19600.0,36,12.42,2.0,1,75000.0,1,11.62,0.0,8.0,0.0
2500.0,36,11.71,7.0,2,29000.0,1,18.7,0.0,5.0,0.0
10000.0,36,12.69,2.0,1,70000.0,0,2.69,0.0,5.0,0.0
10000.0,36,6.62,5.0,1,45000.0,1,26.85,0.0,15.0,0.0
4225.0,36,12.42,5.0,2,55200.0,1,17.61,0.0,6.0,0.0
3500.0,36,7.9,7.0,2,61440.0,1,6.46,1.0,6.0,0.0
12000.0,36,6.62,10.0,2,56000.0,1,13.65,0.0,7.0,0.0
16500.0,36,8.9,0.0,1,47000.0,1,9.06,0.0,6.0,0.0
22000.0,60,21.67,0.0,1,55000.0,1,15.62,0.0,9.0,0.0
12000.0,36,14.65,1.0,1,71000.0,1,14.87,0.0,15.0,0.0
15600.0,60,12.69,10.0,1,50000.0,0,5.78,0.0,8.0,0.0
10800.0,36,12.42,8.0,1,135000.0,1,12.12,0.0,14.0,0.0
14000.0,36,12.42,10.0,2,63000.0,1,7.35,0.0,5.0,0.0
18825.0,60,17.58,4.0,2,44000.0,1,24.98,0.0,9.0,0.0
6000.0,36,13.49,5.0,2,50000.0,1,15.58,0.0,8.0,0.0
12000.0,36,9.91,5.0,1,80000.0,1,14.83,0.0,11.0,0.0
10000.0,36,12.42,4.0,1,45000.0,1,10.45,0.0,14.0,0.0
8000.0,36,7.9,2.0,1,78000.0,1,6.09,0.0,16.0,0.0
14125.0,36,9.91,1.0,1,33000.0,1,23.13,0.0,12.0,0.0
14000.0,36,12.69,5.0,1,62800.0,1,19.24,0.0,10.0,0.0
13200.0,60,17.27,3.0,1,26400.0,1,9.64,0.0,8.0,0.0
4000.0,36,19.03,10.0,2,80000.0,1,20.59,1.0,30.0,0.0
4000.0,36,12.69,2.0,1,25000.0,0,6.86,0.0,5.0,0.0
10500.0,36,6.03,10.0,2,65000.0,1,10.36,0.0,8.0,0.0
5500.0,36,7.9,10.0,3,59000.0,1,6.65,0.0,10.0,0.0
7350.0,36,11.71,1.0,1,33000.0,1,22.51,0.0,13.0,0.0
10000.0,36,12.42,10.0,1,39000.0,0,18.31,0.0,7.0,0.0
12000.0,36,7.51,10.0,1,42000.0,1,10.74,0.0,7.0,0.0
5000.0,60,11.71,5.0,2,38004.0,1,23.78,0.0,12.0,0.0
8000.0,60,11.71,3.0,3,31000.0,1,16.22,0.0,13.0,0.0
4500.0,36,8.9,10.0,2,50700.0,1,23.43,0.0,10.0,0.0
18000.0,36,12.42,1.0,3,75000.0,1,12.51,0.0,9.0,0.0
12300.0,60,13.49,2.0,2,30000.0,1,12.76,0.0,8.0,0.0
12000.0,36,13.49,6.0,1,40000.0,1,15.72,0.0,8.0,0.0
10000.0,36,13.49,10.0,2,50000.0,1,5.88,1.0,5.0,0.0
6000.0,36,7.9,7.0,2,80000.0,1,8.87,0.0,8.0,0.0
12000.0,36,12.69,4.0,1,40000.0,1,22.2,0.0,9.0,0.0
12000.0,36,8.9,7.0,1,80000.0,0,9.13,0.0,8.0,0.0
7000.0,36,11.71,2.0,1,75000.0,1,15.57,0.0,7.0,0.0
35000.0,60,18.64,8.0,2,85000.0,1,12.0,0.0,16.0,0.0
1400.0,36,7.9,1.0,1,28800.0,1,10.0,0.0,5.0,0.0
16000.0,60,13.49,10.0,1,35000.0,0,16.22,0.0,6.0,0.0
3200.0,36,9.91,9.0,1,61200.0,1,2.16,0.0,5.0,1.0
8000.0,36,7.9,1.0,1,40000.0,1,13.35,0.0,4.0,0.0
11875.0,60,12.69,0.0,1,25920.0,0,23.75,0.0,8.0,0.0
5000.0,36,6.03,9.0,2,54000.0,1,3.82,0.0,6.0,0.0
1800.0,36,6.62,10.0,1,18000.0,1,23.8,0.0,5.0,0.0
35000.0,36,8.9,5.0,1,85000.0,1,17.73,0.0,7.0,0.0
18000.0,36,8.9,5.0,1,78000.0,1,7.0,0.0,6.0,0.0
14000.0,36,7.9,10.0,3,45600.0,0,19.74,0.0,5.0,0.0
5000.0,36,12.42,2.0,1,70000.0,1,20.06,0.0,14.0,0.0
8000.0,36,15.96,4.0,1,70000.0,1,14.04,0.0,10.0,0.0
10000.0,36,6.03,9.0,2,80000.0,1,12.99,0.0,7.0,0.0
10000.0,36,7.51,5.0,1,50000.0,1,4.63,0.0,8.0,0.0
12000.0,36,12.42,10.0,2,35000.0,1,18.51,0.0,10.0,0.0
23200.0,36,7.9,3.0,2,65000.0,1,27.99,0.0,10.0,0.0
18000.0,60,15.27,1.0,2,84000.0,1,11.41,0.0,11.0,0.0
4800.0,36,15.27,10.0,2,75000.0,1,9.3,0.0,13.0,0.0
7300.0,36,11.71,6.0,1,35000.0,1,16.42,0.0,10.0,0.0
10400.0,36,9.91,6.0,1,40000.0,1,11.67,0.0,7.0,0.0
6600.0,36,9.91,1.0,2,100000.0,1,15.53,0.0,10.0,0.0
12000.0,36,8.9,7.0,3,40000.0,1,9.45,0.0,12.0,0.0
13250.0,36,17.27,10.0,1,52000.0,1,23.7,0.0,8.0,0.0
12000.0,36,11.71,3.0,1,92500.0,1,15.97,0.0,11.0,0.0
25000.0,36,9.91,9.0,1,61000.0,1,10.35,0.0,5.0,0.0
6000.0,36,10.65,10.0,1,36000.0,1,14.43,0.0,5.0,0.0
12000.0,36,7.51,10.0,2,68000.0,1,7.08,0.0,7.0,0.0
14400.0,36,11.71,1.0,1,80000.0,1,16.35,0.0,10.0,0.0
10000.0,36,12.42,10.0,1,43000.0,1,11.58,0.0,13.0,0.0
8000.0,36,11.71,1.0,1,150000.0,1,2.48,1.0,5.0,0.0
8000.0,36,16.29,5.0,1,50000.0,0,13.22,0.0,9.0,0.0
30000.0,60,12.42,3.0,1,70000.0,0,0.94,0.0,7.0,0.0
18000.0,60,16.77,6.0,3,40000.0,0,18.42,0.0,7.0,0.0
13250.0,36,11.71,2.0,3,35000.0,1,22.35,0.0,16.0,0.0
14000.0,36,14.27,6.0,1,80000.0,1,16.21,0.0,8.0,0.0
20000.0,60,20.3,10.0,3,59000.0,0,20.91,0.0,16.0,0.0
10000.0,36,16.29,10.0,1,40000.0,1,24.39,0.0,7.0,0.0
35000.0,60,20.3,5.0,1,85000.0,1,20.16,0.0,11.0,0.0
4000.0,36,6.03,1.0,1,55000.0,1,7.05,0.0,7.0,0.0
13000.0,36,9.91,6.0,1,110000.0,1,8.38,0.0,8.0,0.0
28000.0,36,12.69,5.0,1,100000.0,1,12.35,0.0,7.0,0.0
10000.0,36,13.49,3.0,1,62000.0,1,11.52,0.0,9.0,0.0
20000.0,36,7.9,0.0,1,45000.0,1,9.25,0.0,8.0,0.0
18000.0,36,9.91,5.0,1,110000.0,1,10.0,0.0,8.0,0.0
9000.0,60,19.91,3.0,1,60000.0,0,22.56,0.0,17.0,0.0
25000.0,60,18.64,10.0,1,61500.0,0,12.6,1.0,11.0,0.0
10000.0,36,11.71,3.0,1,33000.0,1,8.69,0.0,6.0,0.0
4200.0,36,6.03,3.0,1,61000.0,1,8.92,0.0,7.0,0.0
20000.0,60,15.27,10.0,3,78216.0,0,10.79,0.0,8.0,0.0
18000.0,60,17.27,1.0,2,62000.0,0,7.82,0.0,8.0,0.0
24000.0,36,16.29,2.0,1,50964.0,1,8.83,1.0,7.0,0.0
4475.0,36,15.27,3.0,1,43680.0,1,18.79,0.0,17.0,0.0
20000.0,60,14.65,2.0,2,56000.0,1,12.15,0.0,9.0,0.0
12000.0,36,12.42,5.0,1,50700.0,1,22.49,0.0,12.0,0.0
5000.0,36,12.42,2.0,1,30000.0,0,23.84,0.0,8.0,0.0
3000.0,36,6.03,5.0,1,50000.0,1,5.5,0.0,7.0,0.0
25000.0,60,19.03,10.0,1,75000.0,1,19.63,0.0,9.0,0.0
18000.0,60,19.03,3.0,1,90000.0,1,11.32,0.0,10.0,0.0
12000.0,36,9.91,10.0,1,55000.0,0,13.0,0.0,10.0,0.0
20000.0,36,15.27,10.0,2,50000.0,1,4.34,0.0,6.0,0.0
10000.0,36,13.49,3.0,1,84000.0,1,13.87,0.0,8.0,0.0
15000.0,36,12.42,6.0,3,155000.0,1,17.85,0.0,14.0,0.0
12000.0,36,7.9,0.0,2,62000.0,1,8.71,0.0,10.0,0.0
20000.0,60,10.65,2.0,2,175000.0,1,5.23,0.0,12.0,0.0
6300.0,36,11.71,2.0,1,30000.0,1,7.2,0.0,6.0,0.0
20000.0,60,16.77,7.0,1,50000.0,1,22.82,0.0,12.0,0.0
35000.0,60,17.27,8.0,2,208000.0,1,7.94,0.0,11.0,0.0
8250.0,60,15.96,2.0,2,35004.0,1,15.6,2.0,13.0,0.0
20000.0,60,12.69,7.0,3,85000.0,1,10.21,0.0,13.0,0.0
10000.0,36,11.71,5.0,1,32000.0,0,21.83,0.0,11.0,0.0
24000.0,36,8.9,10.0,2,116400.0,0,3.94,0.0,14.0,0.0
14400.0,36,12.69,9.0,2,40000.0,1,20.16,0.0,8.0,0.0
6000.0,36,14.65,7.0,1,34000.0,1,21.39,0.0,7.0,0.0
22000.0,36,15.96,5.0,2,73000.0,1,22.47,0.0,16.0,0.0
12000.0,36,11.71,10.0,1,57200.0,0,16.36,0.0,11.0,0.0
16000.0,36,16.77,0.0,2,114000.0,1,17.2,0.0,17.0,0.0
10000.0,36,10.65,10.0,2,90000.0,1,11.16,0.0,15.0,0.0
16000.0,60,19.03,8.0,2,54000.0,1,16.89,0.0,9.0,0.0
